"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YDR492W",679.24994410721,0.374317201762864,0.11695605942563,3.20049430188681,0.00137192082039942,0.00998357887775267
"YDL182W",1555.66829399375,-0.274630654993363,0.0996124316886529,-2.75699177640542,0.00583358186245875,0.0332113465175841
"YDR158W",5608.09555969142,0.510066130178889,0.0765769748653277,6.66082893814908,2.72287418342274e-11,1.16249775091261e-09
"YDR533C",200.38839026242,0.38566662129073,0.10897426600869,3.53906142630017,0.000401552402284069,0.00354945627614533
"YDL181W",77.057104428409,0.976494608033506,0.203591221534147,4.79634927613873,1.61583436147957e-06,2.74262098270282e-05
"YDR367W",426.073800799252,0.402731839564284,0.104970164646001,3.83663149355294,0.0001247334227516,0.0012986112626439
"YDR505C",975.877345117289,0.288949774974076,0.107703591079736,2.6828239622963,0.00730034067034473,0.0395843450791335
"YDR363W",235.149137224433,0.262149384403419,0.0982253076948664,2.66885785909449,0.00761096520349148,0.0409891286045241
"YDR097C",1518.11023777645,-0.448493215006465,0.0705502526203942,-6.35707454400833,2.05632219493056e-10,7.29080458224824e-09
"YDR471W",3905.21704160563,-0.483048268572418,0.0725226780213877,-6.66065128524297,2.72616781807162e-11,1.16249775091261e-09
"YDR089W",429.588514745235,-0.268923458756196,0.0798090194725365,-3.36958730396051,0.00075280839307207,0.00605854119115504
"YDR129C",2845.68899373575,0.435445977382646,0.0865241956877346,5.03264981455787,4.83746297420194e-07,8.97461880853394e-06
"YDL066W",4918.20809340686,0.458881728199801,0.0850120304810424,5.39784458273975,6.74462520788378e-08,1.54835244880267e-06
"YDR539W",393.09898435579,0.423491386237846,0.0933569273739235,4.53626097334621,5.72603183049653e-06,8.68017461810662e-05
"YDL125C",862.989531520045,-0.226219465059057,0.0659259017359045,-3.43142011110109,0.000600429951954706,0.0050354059834099
"YDR307W",503.698274324745,0.344246210773432,0.0864873667322527,3.98030630114046,6.8826527127541e-05,0.000777435214385781
"YDR077W",6728.14319545396,1.03127478698021,0.148735018958898,6.93363805107119,4.10153265722194e-12,1.99816652048782e-10
"YDL083C",8093.93622262717,-0.503847387139246,0.0744281947872826,-6.76957688654485,1.29159560625881e-11,5.7908890572638e-10
"YDR513W",605.845342020766,0.274528778201562,0.0782082481740843,3.5102279441228,0.000447722704782682,0.00388757319989534
"YDR487C",1211.0416120561,0.287518771457482,0.0736911107111983,3.90167509598671,9.55293235778037e-05,0.00102637734524166
"YDR466W",564.604271392439,0.244874763972378,0.0717315827026313,3.41376496581045,0.000640718227151295,0.00528302806935344
"YDR365C",2739.30729071798,-0.265264116533267,0.0786530351748164,-3.37258588869055,0.000744658573325773,0.00600810494938696
"YDR294C",937.659090289037,0.335289427358541,0.118806226234468,2.82215366976506,0.00477023137858767,0.028162457593105
"YDL214C",67.3737812594353,-0.846530582496481,0.198556983207164,-4.26341380103088,2.01327186601068e-05,0.000266951075827125
"YDR373W",598.013747413233,-0.286260062459806,0.0809189205370585,-3.53761593160041,0.000403756892398487,0.00355294776025999
"YDR316W",168.116729145473,-9.57533527551689,1.18476919947411,-8.08202583234538,6.36996070407187e-16,4.95769380651057e-14
"YDR050C",22982.5233192166,-0.725586777556829,0.0796976008558929,-9.10424868207534,8.68655672149818e-20,9.72589561343884e-18
"YDR111C",347.01578957766,-0.391287618167155,0.0895482160922933,-4.36957468548421,1.24488759196074e-05,0.000174612584876779
