"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YDL243C",71.6749109394491,0.514188845078361,0.15746177058138,3.26548369918536,0.00109277294953672,0.00390588602525153
"YDL094C",278.738257294573,-0.425591174567112,0.164058569739908,-2.59414168514224,0.00948273995516345,0.0255677424562117
"YDR523C",52.0399572777226,-0.629725682499423,0.22525922147446,-2.7955600591065,0.00518098742436011,0.0152654948025237
"YDR492W",679.24994410721,-0.612216071691625,0.121170362724583,-5.05252322371252,4.36011321898633e-07,3.05782885313964e-06
"YDR018C",32.5196090336176,-0.64272379124381,0.258095305840447,-2.49025757811008,0.01276505455731,0.0330091483730764
"YDR508C",1738.42451904187,-1.12398239515136,0.122241789335919,-9.19474756756603,3.75876091507131e-20,1.18754515643491e-18
"YDL182W",1555.66829399375,1.40746094605811,0.0977105495367,14.4043908537171,4.85580137071988e-47,5.84711780149704e-45
"YDR158W",5608.09555969142,-0.890963504697269,0.0776919351630822,-11.4679020779577,1.91239420635714e-30,1.08007963052843e-28
"YDL206W",186.368081708741,-0.339861472286754,0.144599159979555,-2.35036961718732,0.0187547769890297,0.0452183554000708
"YDR125C",90.6068504567181,-0.622760190639648,0.169471745764063,-3.67471396386421,0.000238116026862525,0.00100241192838828
"YDR272W",557.102867723696,0.298135344484445,0.0828927360549599,3.59664017226762,0.000322353909929447,0.0013204509968997
"YDR197W",193.252547207486,-0.334675946745765,0.12234742149293,-2.73545566111586,0.00622939779659627,0.0179404407661902
"YDR367W",426.073800799252,-1.46781746552561,0.120544996608585,-12.1765109031583,4.14643820844378e-34,2.8151668772647e-32
"YDL097C",1745.04439742286,0.481821645563337,0.0869297264945677,5.5426568677108,2.97916305188721e-08,2.56240142818655e-07
"YDR200C",361.538329114376,0.512180506894867,0.0825885242385991,6.20159412723216,5.5894073969673e-10,6.04603356058395e-09
"YDR469W",266.969985702341,0.259283752164873,0.0936525530235304,2.76857110451359,0.00563026985390941,0.0165130432939567
"YDL123W",104.401869155763,0.441467066229543,0.154259286812183,2.86185081853159,0.00421175098467647,0.0127450899877692
"YDR505C",975.877345117289,0.294402886100692,0.108388339435267,2.71618596275774,0.00660388127535648,0.0188403979880756
"YDL045W-A",180.724314549706,0.541576319569699,0.123684072268118,4.37870705288302,1.19385482519295e-05,6.63691767803259e-05
"YDR358W",222.123072883098,0.450827834668997,0.14002405890773,3.21964552510275,0.0012834919701651,0.00450563572804934
"snR13",365.049625364807,-1.16665422157161,0.463416209368108,-2.51750844702305,0.0118188135525446,0.0308497620009568
"YDR228C",409.373037134677,-0.287672710068013,0.0827883085827381,-3.47479873659352,0.000511236765179753,0.0019726197311833
"YDR471W",3905.21704160563,-0.739980797940612,0.073146539257169,-10.1164156972483,4.67212933770717e-24,1.84058823662019e-22
"YDR089W",429.588514745235,-0.705172895240618,0.0861094773522656,-8.18925996212732,2.62837270995211e-16,5.90643473060366e-15
"YDR043C",96.1870111433618,0.585644595325957,0.149938318003301,3.90590346166924,9.38739863974624e-05,0.000429652067881427
"YDR129C",2845.68899373575,0.4800438541308,0.0867690729416249,5.53243036783113,3.15823834884275e-08,2.70548686474019e-07
"YDL066W",4918.20809340686,0.243736717680051,0.085289269865061,2.85776532107351,0.00426635794310462,0.012881245360659
"YDR302W",291.422043714755,-0.390541064987552,0.105695692373798,-3.69495725148744,0.000219923785350446,0.00093536222651315
"YDR539W",393.09898435579,-0.97184797950195,0.106018605490702,-9.16676818190354,4.87412486486754e-20,1.53234802401895e-18
"YDR212W",3863.61657754262,0.183154988572481,0.0537600204066286,3.40689953588444,0.000657053070185987,0.00247539120066527
"YDR458C",607.803713192441,-0.361776332592197,0.0759695872714855,-4.76212054831035,1.91569182551201e-06,1.22259452304176e-05
"YDR113C",265.411190764778,-0.296333563440867,0.105729053643926,-2.80276379318459,0.00506667623336405,0.0150105700544977
"YDR168W",1281.6208502055,0.43719576417226,0.0894005479343012,4.89030295981572,1.00680897281596e-06,6.71416391276015e-06
"YDL076C",230.034175299387,-0.302181732995293,0.107820326085128,-2.80264161654186,0.00506859581125706,0.0150105700544977
"YDL086W",220.627164505025,0.447587025210059,0.0987126692442613,4.53424093013349,5.78110104493668e-06,3.38486118062256e-05
"YDR238C",6139.43236698216,0.600142812912342,0.0818210277618161,7.33482369177003,2.2201355755544e-13,3.65177970185263e-12
"YDR077W",6728.14319545396,1.75536192974314,0.148673504980709,11.8068241545183,3.59900134914017e-32,2.20854102021275e-30
"YDL083C",8093.93622262717,-0.612427238576748,0.0746437215310894,-8.2046718198753,2.31221619011785e-16,5.23282401607521e-15
"YDR513W",605.845342020766,0.54230159737106,0.0786132931895096,6.89834473749569,5.26119485950918e-12,7.54538103222193e-11
"YDR066C",89.7705051937096,-0.556860661106001,0.156922914642631,-3.54862552976517,0.000387247367621194,0.00154947504712129
"YDR352W",384.546518208972,-0.484923461276785,0.106545155186603,-4.55134220253834,5.33047684146244e-06,3.14409456582378e-05
"YDL024C",23.3787577446962,-1.09146734228499,0.33327692398052,-3.27495624134116,0.00105678341612888,0.00379324621019938
"YDR427W",1356.85063668676,0.520317448771947,0.0981544724116511,5.30100601620863,1.15166293244302e-07,8.95239078544619e-07
"YDL044C",168.531315579936,-0.320554552052009,0.130904437685172,-2.44876764852655,0.0143345885289554,0.0361880316423233
"YDR305C",167.095636966699,-0.364074285940784,0.118939660283388,-3.06099988072384,0.00220599182296225,0.00721981528930516
"YDR377W",440.106822908437,0.480828244475721,0.102443456320096,4.69359646528635,2.68443316255936e-06,1.6746874333777e-05
"YDR416W",517.405738239144,-0.345648216535454,0.0849261167743261,-4.0699872979468,4.70157010575283e-05,0.000228874297596602
